show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s00069,TV Show,Title 69,Director C,"Actor X, Actor Y",Canada,2023-03-26 20:05:25,1982,PG,14 Seasons,Sci-Fi,Sample description of the content.
s00070,TV Show,Title 70,Director D,"Actor A, Actor B",Canada,2023-05-18 15:17:42,2002,PG-13,12 Seasons,Action,Sample description of the content.
s00071,TV Show,Title 71,Director D,"Actor A, Actor B",India,2023-07-21 06:01:35,1971,G,3 Seasons,Comedy,Sample description of the content.
s00072,Movie,Title 72,Director C,"Actor A, Actor B",United States,2023-06-09 12:34:30,1970,R,11 min,Comedy,Sample description of the content.
s00073,TV Show,Title 73,Director A,"Actor A, Actor B",United Kingdom,2023-11-01 19:44:42,2019,TV-PG,14 Seasons,Drama,Sample description of the content.
s00074,Movie,Title 74,Director D,"Actor A, Actor B",United Kingdom,2019-05-02 13:19:38,2019,NC-17,50 min,Romance,Sample description of the content.
s00075,TV Show,Title 75,Director A,"Actor A, Actor B",Canada,2023-06-10 00:23:50,1953,PG,5 Seasons,Drama,Sample description of the content.
s00076,TV Show,Title 76,Director D,"Actor A, Actor B",United Kingdom,2021-02-21 10:22:23,2024,PG-13,5 Seasons,Sci-Fi,Sample description of the content.
s00077,TV Show,Title 77,Director A,"Actor M, Actor N",South Korea,2023-09-13 13:05:33,2011,R,5 Seasons,Action,Sample description of the content.
s00078,Movie,Title 78,Director C,"Actor M, Actor N",India,2017-09-10 00:20:28,2011,NC-17,48 min,Documentary,Sample description of the content.
s00079,TV Show,Title 79,Director B,"Actor A, Actor B",United States,2021-10-16 01:54:50,1973,NC-17,4 Seasons,Documentary,Sample description of the content.
s00080,Movie,Title 80,Director A,"Actor A, Actor B",South Korea,2022-08-14 00:10:57,2004,R,101 min,Comedy,Sample description of the content.
s00081,TV Show,Title 81,Director B,"Actor M, Actor N",India,2019-04-25 23:44:22,1958,TV-MA,3 Seasons,Documentary,Sample description of the content.
s00082,Movie,Title 82,Director A,"Actor M, Actor N",Japan,2022-06-30 10:33:04,1952,TV-MA,172 min,Documentary,Sample description of the content.
s00083,TV Show,Title 83,Director A,"Actor M, Actor N",Canada,2021-09-27 07:45:24,1980,PG,1 Seasons,Sci-Fi,Sample description of the content.
s00084,Movie,Title 84,Director A,"Actor A, Actor B",United Kingdom,2022-03-12 04:23:20,1989,PG-13,189 min,Documentary,Sample description of the content.
s00085,Movie,Title 85,Director A,"Actor X, Actor Y",Japan,2019-01-27 12:51:50,1985,R,137 min,Action,Sample description of the content.
s00086,TV Show,Title 86,Director A,"Actor X, Actor Y",United Kingdom,2017-11-15 21:49:14,1973,PG,4 Seasons,Documentary,Sample description of the content.
s00087,Movie,Title 87,Director B,"Actor X, Actor Y",South Korea,2018-08-05 04:50:52,1955,PG,35 min,Horror,Sample description of the content.
s00088,TV Show,Title 88,Director A,"Actor X, Actor Y",United States,2022-08-01 11:36:11,2015,TV-14,1 Seasons,Documentary,Sample description of the content.
s00089,TV Show,Title 89,Director B,"Actor A, Actor B",United States,2020-08-10 22:06:09,2024,NC-17,2 Seasons,Documentary,Sample description of the content.
s00090,TV Show,Title 90,Director C,"Actor X, Actor Y",United States,2018-06-09 20:40:55,1953,G,8 Seasons,Drama,Sample description of the content.
s00091,TV Show,Title 91,Director D,"Actor M, Actor N",United Kingdom,2019-07-29 16:51:58,1955,NC-17,1 Seasons,Action,Sample description of the content.
s00092,TV Show,Title 92,Director A,"Actor M, Actor N",Japan,2020-12-17 18:21:27,2000,TV-MA,8 Seasons,Comedy,Sample description of the content.
s00093,TV Show,Title 93,Director D,"Actor X, Actor Y",United States,2018-02-24 19:44:50,2011,PG-13,13 Seasons,Drama,Sample description of the content.
s00094,TV Show,Title 94,Director B,"Actor M, Actor N",Japan,2023-04-18 10:32:09,2006,NC-17,7 Seasons,Romance,Sample description of the content.
s00095,TV Show,Title 95,Director C,"Actor A, Actor B",United Kingdom,2022-05-15 04:37:26,2015,R,8 Seasons,Action,Sample description of the content.
s00096,TV Show,Title 96,Director C,"Actor X, Actor Y",South Korea,2021-08-23 23:45:53,2024,PG,12 Seasons,Horror,Sample description of the content.
s00097,TV Show,Title 97,Director C,"Actor X, Actor Y",Japan,2023-06-06 07:47:59,1957,R,6 Seasons,Action,Sample description of the content.
s00098,TV Show,Title 98,Director D,"Actor A, Actor B",South Korea,2017-09-21 08:29:07,1975,TV-14,12 Seasons,Romance,Sample description of the content.
s00099,Movie,Title 99,Director B,"Actor M, Actor N",United Kingdom,2019-02-22 15:42:18,2000,PG-13,174 min,Romance,Sample description of the content.
s00100,Movie,Title 100,Director A,"Actor A, Actor B",United Kingdom,2019-01-19 23:57:57,1994,PG,47 min,Romance,Sample description of the content.
s00101,TV Show,Title 101,Director A,"Actor A, Actor B",Canada,2019-12-28 22:16:58,1993,R,9 Seasons,Sci-Fi,Sample description of the content.
s00102,TV Show,Title 102,Director B,"Actor M, Actor N",United Kingdom,2018-07-19 14:34:48,1954,TV-MA,3 Seasons,Comedy,Sample description of the content.
s00103,TV Show,Title 103,Director D,"Actor A, Actor B",United Kingdom,2018-03-14 05:47:24,2019,G,10 Seasons,Documentary,Sample description of the content.
s00104,TV Show,Title 104,Director A,"Actor M, Actor N",India,2022-08-16 10:15:20,1975,TV-14,4 Seasons,Action,Sample description of the content.
s00105,TV Show,Title 105,Director B,"Actor M, Actor N",United States,2023-10-29 21:26:54,2017,PG-13,13 Seasons,Sci-Fi,Sample description of the content.
s00106,TV Show,Title 106,Director A,"Actor A, Actor B",Canada,2018-08-28 11:59:16,1968,TV-14,6 Seasons,Documentary,Sample description of the content.
s00107,TV Show,Title 107,Director C,"Actor M, Actor N",Canada,2019-04-30 01:08:55,1969,TV-MA,8 Seasons,Documentary,Sample description of the content.
s00108,TV Show,Title 108,Director A,"Actor A, Actor B",Canada,2018-04-13 17:51:40,1961,PG-13,5 Seasons,Horror,Sample description of the content.
s00109,Movie,Title 109,Director D,"Actor M, Actor N",India,2017-12-12 04:31:44,1996,TV-14,51 min,Romance,Sample description of the content.
s00110,TV Show,Title 110,Director B,"Actor X, Actor Y",South Korea,2018-08-24 20:19:34,1950,TV-PG,6 Seasons,Comedy,Sample description of the content.
s00111,Movie,Title 111,Director D,"Actor M, Actor N",United Kingdom,2018-03-09 23:49:39,1963,TV-MA,20 min,Horror,Sample description of the content.
s00112,TV Show,Title 112,Director B,"Actor M, Actor N",United States,2019-01-28 11:28:36,2013,TV-MA,9 Seasons,Drama,Sample description of the content.
s00113,TV Show,Title 113,Director C,"Actor A, Actor B",Japan,2022-07-25 09:10:13,1987,TV-MA,13 Seasons,Sci-Fi,Sample description of the content.
s00114,Movie,Title 114,Director B,"Actor M, Actor N",South Korea,2023-07-15 07:23:32,1986,TV-PG,179 min,Sci-Fi,Sample description of the content.
s00115,TV Show,Title 115,Director A,"Actor X, Actor Y",United Kingdom,2022-07-17 09:55:28,1960,TV-PG,4 Seasons,Comedy,Sample description of the content.
s00116,Movie,Title 116,Director A,"Actor X, Actor Y",India,2018-06-03 02:14:51,1952,R,55 min,Documentary,Sample description of the content.
s00117,TV Show,Title 117,Director C,"Actor M, Actor N",United Kingdom,2019-05-26 12:46:32,1982,PG,7 Seasons,Sci-Fi,Sample description of the content.
s00118,TV Show,Title 118,Director B,"Actor M, Actor N",United Kingdom,2022-09-24 06:35:04,1955,G,12 Seasons,Comedy,Sample description of the content.
s00119,Movie,Title 119,Director C,"Actor X, Actor Y",India,2018-06-04 11:15:05,1999,TV-14,28 min,Sci-Fi,Sample description of the content.
s00120,TV Show,Title 120,Director A,"Actor A, Actor B",Canada,2018-05-31 10:56:49,1959,R,4 Seasons,Sci-Fi,Sample description of the content.
s00121,Movie,Title 121,Director D,"Actor X, Actor Y",Canada,2023-01-18 01:49:28,1954,TV-14,150 min,Romance,Sample description of the content.
s00122,TV Show,Title 122,Director C,"Actor X, Actor Y",United States,2022-01-10 07:12:10,1972,G,12 Seasons,Drama,Sample description of the content.
s00123,Movie,Title 123,Director D,"Actor M, Actor N",United States,2022-05-20 02:07:52,1959,PG,173 min,Romance,Sample description of the content.
s00124,Movie,Title 124,Director D,"Actor M, Actor N",Canada,2021-06-15 04:54:29,1993,TV-PG,67 min,Drama,Sample description of the content.
s00125,TV Show,Title 125,Director B,"Actor X, Actor Y",South Korea,2020-10-16 11:40:28,1951,PG,6 Seasons,Sci-Fi,Sample description of the content.
s00126,TV Show,Title 126,Director C,"Actor A, Actor B",Japan,2018-05-17 19:08:58,1962,TV-PG,12 Seasons,Horror,Sample description of the content.
s00127,Movie,Title 127,Director D,"Actor X, Actor Y",United Kingdom,2020-07-28 00:47:09,1989,G,194 min,Documentary,Sample description of the content.
s00128,TV Show,Title 128,Director D,"Actor X, Actor Y",Japan,2023-04-10 16:33:05,1951,PG,8 Seasons,Sci-Fi,Sample description of the content.
s00129,TV Show,Title 129,Director B,"Actor A, Actor B",United Kingdom,2018-01-27 16:07:03,2014,R,2 Seasons,Drama,Sample description of the content.
s00130,TV Show,Title 130,Director B,"Actor X, Actor Y",Canada,2018-01-08 21:26:26,2012,PG-13,11 Seasons,Drama,Sample description of the content.
s00131,Movie,Title 131,Director A,"Actor X, Actor Y",United States,2019-01-29 08:27:32,2022,R,183 min,Drama,Sample description of the content.
s00132,Movie,Title 132,Director D,"Actor M, Actor N",South Korea,2022-03-07 16:35:46,1966,TV-14,105 min,Sci-Fi,Sample description of the content.
s00133,Movie,Title 133,Director A,"Actor A, Actor B",United States,2021-06-20 19:57:11,1958,R,1 min,Comedy,Sample description of the content.
s00134,Movie,Title 134,Director D,"Actor M, Actor N",Japan,2021-09-28 16:38:42,2024,G,72 min,Horror,Sample description of the content.
s00135,Movie,Title 135,Director A,"Actor M, Actor N",United States,2017-08-17 00:13:05,1964,TV-MA,87 min,Comedy,Sample description of the content.
s00136,Movie,Title 136,Director B,"Actor A, Actor B",Canada,2021-03-13 00:26:39,1973,TV-14,166 min,Documentary,Sample description of the content.
s00137,Movie,Title 137,Director C,"Actor A, Actor B",South Korea,2021-12-09 00:14:52,1987,PG,6 min,Sci-Fi,Sample description of the content.
s00138,Movie,Title 138,Director B,"Actor X, Actor Y",Japan,2017-08-01 18:28:39,1984,TV-14,153 min,Drama,Sample description of the content.
s00139,Movie,Title 139,Director A,"Actor M, Actor N",South Korea,2020-06-10 18:26:52,1998,PG-13,145 min,Horror,Sample description of the content.
s00140,TV Show,Title 140,Director A,"Actor A, Actor B",United Kingdom,2018-01-09 16:51:46,2018,TV-PG,13 Seasons,Horror,Sample description of the content.
s00141,Movie,Title 141,Director C,"Actor M, Actor N",United States,2020-06-20 14:14:21,2011,PG,12 min,Action,Sample description of the content.
s00142,TV Show,Title 142,Director D,"Actor M, Actor N",South Korea,2019-11-10 11:39:44,2009,NC-17,6 Seasons,Documentary,Sample description of the content.
s00143,TV Show,Title 143,Director A,"Actor A, Actor B",India,2018-09-24 06:40:35,1999,TV-14,10 Seasons,Horror,Sample description of the content.
s00144,TV Show,Title 144,Director A,"Actor X, Actor Y",United States,2021-01-03 12:59:04,2024,PG,11 Seasons,Sci-Fi,Sample description of the content.
s00145,Movie,Title 145,Director A,"Actor M, Actor N",United Kingdom,2020-08-08 19:10:36,1958,PG,136 min,Drama,Sample description of the content.
s00146,Movie,Title 146,Director C,"Actor A, Actor B",South Korea,2019-07-10 17:31:22,1983,PG,124 min,Drama,Sample description of the content.
s00147,Movie,Title 147,Director B,"Actor X, Actor Y",Japan,2021-01-06 09:03:29,1984,TV-PG,106 min,Horror,Sample description of the content.
s00148,Movie,Title 148,Director A,"Actor M, Actor N",United Kingdom,2019-08-31 11:56:08,1950,NC-17,193 min,Comedy,Sample description of the content.
s00149,TV Show,Title 149,Director C,"Actor A, Actor B",India,2018-01-07 23:00:31,1989,G,9 Seasons,Documentary,Sample description of the content.
s00150,Movie,Title 150,Director A,"Actor M, Actor N",South Korea,2022-03-22 09:24:49,2013,R,93 min,Drama,Sample description of the content.
s00151,Movie,Title 151,Director D,"Actor A, Actor B",Canada,2017-10-19 23:06:04,1971,PG,109 min,Horror,Sample description of the content.
s00152,Movie,Title 152,Director C,"Actor A, Actor B",United States,2023-10-05 05:37:57,2009,TV-MA,99 min,Drama,Sample description of the content.
s00153,Movie,Title 153,Director A,"Actor M, Actor N",Japan,2022-09-17 03:54:26,2013,G,168 min,Horror,Sample description of the content.
s00154,Movie,Title 154,Director C,"Actor M, Actor N",Canada,2018-04-25 15:10:00,2021,PG-13,142 min,Documentary,Sample description of the content.
s00155,TV Show,Title 155,Director A,"Actor A, Actor B",South Korea,2018-11-04 11:18:24,1960,TV-PG,3 Seasons,Horror,Sample description of the content.
s00156,Movie,Title 156,Director B,"Actor X, Actor Y",South Korea,2019-07-25 20:03:53,1963,TV-14,176 min,Action,Sample description of the content.
s00157,TV Show,Title 157,Director A,"Actor M, Actor N",United Kingdom,2022-12-04 15:46:40,2009,TV-PG,13 Seasons,Horror,Sample description of the content.
s00158,Movie,Title 158,Director C,"Actor A, Actor B",South Korea,2020-02-03 13:05:37,1979,TV-14,84 min,Horror,Sample description of the content.
s00159,TV Show,Title 159,Director D,"Actor A, Actor B",Japan,2019-01-19 02:39:39,1984,TV-PG,8 Seasons,Sci-Fi,Sample description of the content.
s00160,Movie,Title 160,Director D,"Actor X, Actor Y",Canada,2023-01-26 21:02:31,1986,TV-14,177 min,Documentary,Sample description of the content.
s00161,Movie,Title 161,Director D,"Actor X, Actor Y",Japan,2018-11-09 22:05:05,1954,PG,141 min,Sci-Fi,Sample description of the content.
s00162,TV Show,Title 162,Director A,"Actor X, Actor Y",India,2021-10-29 10:38:36,1975,R,13 Seasons,Horror,Sample description of the content.
s00163,TV Show,Title 163,Director B,"Actor M, Actor N",India,2021-01-01 07:21:41,2011,TV-14,6 Seasons,Documentary,Sample description of the content.
s00164,TV Show,Title 164,Director A,"Actor A, Actor B",United States,2021-03-24 22:03:00,1953,NC-17,1 Seasons,Action,Sample description of the content.
s00165,Movie,Title 165,Director D,"Actor A, Actor B",United States,2018-03-13 12:59:49,1991,TV-14,46 min,Documentary,Sample description of the content.
s00166,TV Show,Title 166,Director C,"Actor A, Actor B",India,2020-02-15 15:12:40,1967,TV-MA,1 Seasons,Drama,Sample description of the content.
s00167,Movie,Title 167,Director D,"Actor X, Actor Y",South Korea,2020-02-17 07:56:31,1989,TV-14,190 min,Sci-Fi,Sample description of the content.
s00168,Movie,Title 168,Director C,"Actor A, Actor B",Japan,2020-12-22 04:42:14,2021,TV-MA,136 min,Documentary,Sample description of the content.
s00169,TV Show,Title 169,Director B,"Actor M, Actor N",India,2022-05-17 09:17:18,1988,PG-13,11 Seasons,Action,Sample description of the content.
s00170,TV Show,Title 170,Director C,"Actor X, Actor Y",United States,2020-08-14 02:12:25,1963,PG,4 Seasons,Romance,Sample description of the content.
s00171,Movie,Title 171,Director A,"Actor X, Actor Y",India,2019-12-29 17:57:49,1981,TV-MA,124 min,Horror,Sample description of the content.
s00172,Movie,Title 172,Director A,"Actor X, Actor Y",South Korea,2021-04-06 03:35:20,2000,R,97 min,Documentary,Sample description of the content.
s00173,TV Show,Title 173,Director A,"Actor X, Actor Y",India,2021-02-20 04:02:59,1987,G,10 Seasons,Horror,Sample description of the content.
s00174,TV Show,Title 174,Director C,"Actor M, Actor N",Japan,2019-10-11 05:16:01,1972,PG,7 Seasons,Comedy,Sample description of the content.
s00175,TV Show,Title 175,Director A,"Actor A, Actor B",Canada,2022-01-23 16:30:51,2012,TV-MA,5 Seasons,Drama,Sample description of the content.
s00176,Movie,Title 176,Director A,"Actor M, Actor N",South Korea,2019-07-10 07:52:55,1964,PG,177 min,Sci-Fi,Sample description of the content.
s00177,Movie,Title 177,Director A,"Actor A, Actor B",United States,2020-12-23 10:03:31,1974,NC-17,192 min,Drama,Sample description of the content.
s00178,Movie,Title 178,Director B,"Actor M, Actor N",Japan,2023-04-18 19:34:54,1966,PG,62 min,Comedy,Sample description of the content.
s00179,Movie,Title 179,Director C,"Actor X, Actor Y",India,2019-06-03 04:50:22,2015,PG,106 min,Comedy,Sample description of the content.
s00180,Movie,Title 180,Director C,"Actor X, Actor Y",India,2019-03-25 01:38:11,2002,PG-13,107 min,Sci-Fi,Sample description of the content.
s00181,Movie,Title 181,Director D,"Actor M, Actor N",Canada,2020-11-06 23:43:58,2000,R,54 min,Documentary,Sample description of the content.
s00182,TV Show,Title 182,Director C,"Actor M, Actor N",United States,2023-07-04 05:24:24,1988,TV-PG,14 Seasons,Comedy,Sample description of the content.
s00183,Movie,Title 183,Director B,"Actor A, Actor B",United States,2023-06-17 05:41:45,2000,TV-PG,9 min,Romance,Sample description of the content.
s00184,Movie,Title 184,Director C,"Actor M, Actor N",United Kingdom,2019-09-17 08:39:44,2019,TV-MA,88 min,Horror,Sample description of the content.
s00185,Movie,Title 185,Director B,"Actor M, Actor N",United States,2020-04-10 04:03:27,1955,PG,37 min,Horror,Sample description of the content.
s00186,TV Show,Title 186,Director B,"Actor A, Actor B",Canada,2020-04-17 06:41:18,2016,TV-MA,1 Seasons,Action,Sample description of the content.
s00187,Movie,Title 187,Director C,"Actor A, Actor B",United Kingdom,2021-06-13 22:57:38,1956,PG-13,41 min,Comedy,Sample description of the content.
s00188,Movie,Title 188,Director D,"Actor A, Actor B",United Kingdom,2019-01-20 10:32:19,2000,PG-13,17 min,Comedy,Sample description of the content.
s00189,TV Show,Title 189,Director A,"Actor M, Actor N",India,2020-03-10 05:19:00,2021,TV-14,8 Seasons,Romance,Sample description of the content.
s00190,Movie,Title 190,Director A,"Actor A, Actor B",India,2020-05-23 22:47:18,1991,NC-17,21 min,Drama,Sample description of the content.
